,article_w_version,Source_Statement_Match_Rate,Source_Type_Match_Rate,Source_Name_Match_Rate,Source_Type_Name_Match_Rate,Source_Type_Correct_Name_Match_Rate,Source_Title_Match_Rate,Source_Justification_Match_Rate,Source_Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
59,19-oakland-sues-SW-airlines_avg,0.4833333333333334,0.8880952380952382,0.7726190476190475,0.7726190476190475,0.86,0.3988095238095238,0.1369047619047619,0.3988095238095238,0.1833333333333333,0.5166666666666667,0.12380952380952381,5.8,4.2,2.0,14.0
65,2-Best-DDR-player_avg,0.8380952380952381,0.8106398348813209,0.8311661506707946,0.8106398348813209,1.0,0.0,0.4412074303405573,0.4412074303405573,0.30476190476190473,0.16190476190476188,0.28539300202839757,17.6,14.2,8.8,29.8
71,20-bill-easier-access_avg,0.775,0.7300000000000001,0.7300000000000001,0.7300000000000001,1.0,0.36,0.0,0.39,0.3,0.225,0.23809523809523808,6.2,4.4,3.0,11.0
77,21-trump-kamala-mispronounce_avg,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.8,0.8,0.0,0.475,3.0,3.0,3.4,6.4
83,22-Judge-rules-breona-taylor_avg,0.609375,0.8722222222222222,0.8722222222222222,0.8722222222222222,1.0,0.6666666666666666,0.41111111111111115,0.6666666666666666,0.40625,0.390625,0.12280701754385964,9.75,8.5,2.25,18.25
88,23-black-landowners-11mins_avg,0.5875,0.7175252525252526,0.6811616161616161,0.6811616161616161,0.9555555555555555,0.46590909090909094,0.36050505050505055,0.8119696969696969,0.3875,0.4125,0.17615143026907734,9.4,6.4,3.6,19.6
94,24-what-happens-to-migrants_avg,0.6363636363636364,0.713095238095238,0.6511904761904762,0.6511904761904762,0.9166666666666667,0.8464285714285715,0.0,0.7964285714285715,0.38181818181818183,0.36363636363636365,0.3961041083099907,7.0,5.0,7.4,18.4
100,25-ballot-access-trans_avg,0.5855855855855857,0.9375,0.9251543209876543,0.9251543209876543,0.9876543209876543,0.7563131313131314,0.57260101010101,0.8994809203142538,0.4954954954954955,0.41441441441441446,0.24224016511177118,21.666666666666668,20.333333333333332,12.666666666666666,49.666666666666664
104,26-biden-harris-11M_avg,1.0,0.4,0.4,0.4,1.0,0.4,0.0,0.4,0.4,0.0,0.6833333333333332,1.0,0.4,2.2,3.2
110,27-general-assembly-landlords_avg,0.8,0.9255952380952381,0.9255952380952381,0.9255952380952381,1.0,0.9005952380952381,0.33095238095238094,0.4607142857142857,0.3647058823529412,0.2,0.34537891737891735,13.6,12.6,9.0,26.0
116,28-scranton-ukrainian-weapons_avg,1.0,1.0,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.5999999999999999,0.05454545454545454,0.6363636363636364,0.6363636363636364,0.0,0.5153846153846153,11.0,9.0,11.8,22.8
122,29-tim-scott-deregulate_avg,0.55,0.46424242424242423,0.3716161616161616,0.2412121212121212,0.525,0.0,0.0,0.0,0.0,0.45,0.28618764302059496,8.8,3.8,6.6,22.6
128,3-SF renewed-sweeps_avg,0.8583333333333334,0.7795520421607379,0.798642951251647,0.7617654808959157,0.9755555555555556,0.26389986824769435,0.19666666666666663,0.47965744400527005,0.39166666666666666,0.14166666666666666,0.3533838233838234,20.6,15.4,13.6,37.6
134,30-la-lower-rent-hikes_avg,0.4756756756756757,0.8430701754385964,0.32552631578947366,0.3025,0.3578998778998779,0.08043859649122806,0.318640350877193,0.3857456140350877,0.12972972972972974,0.5243243243243243,0.21027545746980963,17.6,5.4,10.0,47.0
140,31-SV-GT-vermont_bill_avg,0.984,0.9753333333333334,0.9753333333333334,0.9753333333333334,1.0,0.6346666666666667,0.47133333333333327,0.7206666666666667,0.712,0.016,0.279103249691485,24.6,24.0,9.8,34.8
146,32-openai_board_avg,0.9058823529411765,0.1569047619047619,0.5985714285714285,0.1569047619047619,1.0,0.0651190476190476,0.4175,0.4826190476190476,0.07058823529411765,0.09411764705882353,0.37824363924363924,15.4,2.4,11.0,28.0
152,33-human-border_patrol_towers_avg,0.6714285714285715,0.8611278195488723,0.7972180451127819,0.7972180451127819,0.925559657061205,0.16172932330827067,0.5457644110275689,0.5996741854636591,0.3857142857142857,0.3285714285714286,0.18089126559714797,18.8,15.6,6.2,34.2
158,34-human-ca_guanranteed_income_avg,0.7333333333333334,1.0,1.0,1.0,1.0,0.38460858027421496,0.5984077841662981,0.809907120743034,0.6074074074074074,0.26666666666666666,0.21790909607086073,19.8,19.8,7.6,34.6
164,4-SFO-Labor-Day_avg,1.0,0.8000000000000002,0.8000000000000002,0.8000000000000002,1.0,0.5,0.24,0.6599999999999999,0.6,0.0,0.3842326404245909,10.0,8.0,6.4,16.4
170,5-Humboldt-SF-homeless-bus_avg,0.6333333333333333,1.0,1.0,1.0,1.0,0.28214285714285714,0.39642857142857146,0.8678571428571429,0.55,0.36666666666666664,0.23076923076923075,7.6,7.6,4.0,16.0
