article_w_version,model_name,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
5-Humboldt-SF-homeless-bus_avg,llama-3.1-70b-instruct,0.5208333333333334,0.4345238095238095,0.22916666666666663,0.5595238095238095,0.3988095238095238,0.9375,0.5595238095238095,0.1607142857142857,0.4345238095238095,0.20833333333333331,0.4791666666666667,0.2107142857142857,6.25,2.75,3.25,15.25
6-OUSD-basic-job_avg,llama-3.1-70b-instruct,0.42400000000000004,0.96,0.40800000000000003,0.790909090909091,0.790909090909091,0.8259090909090909,0.790909090909091,0.1290909090909091,0.3472727272727273,0.264,0.5760000000000001,0.1251596424010217,10.6,8.4,3.6,28.6
7-District7-Candidate-Sues_avg,llama-3.1-70b-instruct,0.3333333333333333,0.7142857142857143,0.23809523809523808,0.6785714285714286,0.6785714285714286,0.95,0.6785714285714286,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.6666666666666666,0.15125000000000002,7.0,4.75,3.75,24.75
8-primary-recount-complete_avg,llama-3.1-70b-instruct,0.6799999999999999,1.0,0.6799999999999999,1.0,1.0,1.0,1.0,0.0,0.0,0.2,0.32,0.25512265512265514,3.4,3.4,2.4,7.4
9-steph-curry-gold_avg,llama-3.1-70b-instruct,0.7777777777777778,0.7142857142857143,0.5555555555555556,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857143,0.34285714285714286,0.34285714285714286,0.4444444444444445,0.22222222222222224,0.26153846153846155,7.0,5.0,3.2,12.2
1-Harris-Trump-Reuters-Poll_avg,llama-3.1-405b-instruct,0.35,0.2857142857142857,0.1,0.42857142857142855,0.2857142857142857,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.1,0.65,0.047619047619047616,7.0,2.0,1.0,21.0
10-Nebraska-voting-rights_avg,llama-3.1-405b-instruct,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.44666666666666666,0.7033333333333334,0.475,0.5,0.08888888888888888,4.0,4.0,0.8,8.8
11-Nebraska-felons-crim-justice_avg,llama-3.1-405b-instruct,0.6199999999999999,0.9714285714285715,0.6,0.9080086580086579,0.9080086580086579,0.9343822843822844,0.9080086580086579,0.2963203463203463,0.3463203463203463,0.38,0.38,0.03809523809523809,12.4,11.2,0.8,20.8
12-kids-lead-poisoning_avg,llama-3.1-405b-instruct,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6457142857142857,2.0,0.0,3.8,5.8
13-pilot-curb-evictions_avg,llama-3.1-405b-instruct,0.48214285714285715,1.0,0.48214285714285715,0.8511904761904762,0.8511904761904762,0.8511904761904762,0.8511904761904762,0.0,0.10714285714285714,0.28571428571428575,0.5178571428571428,0.17647058823529413,6.75,5.75,3.0,17.0
